track_id,year,month,day,hour,year_genesis,month_genesis,day_genesis,hour_genesis,lat_gen,lon_gen,gen_bin,year_of_GLR_0,month_of_GLR_0,day_of_GLR_0,hour_of_GLR_0,min_p_cent,max_p_grad,max_radius,max_uv,sup_ttl_precip,mi_ttl_precip,huron_ttl_precip,erie_ttl_precip,ont_ttl_precip,sup_ttl_evap,mi_ttl_evap,huron_ttl_evap,erie_ttl_evap,ont_ttl_evap,sup_ttl_evap_anoms,mi_ttl_evap_anoms,huron_ttl_evap_anoms,erie_ttl_evap_anoms,ont_ttl_evap_anoms,sup_ttl_runoff,mi_ttl_runoff,huron_ttl_runoff,erie_ttl_runoff,ont_ttl_runoff,sup_ttl_P_minus_E,mi_ttl_P_minus_E,huron_ttl_P_minus_E,erie_ttl_P_minus_E,ont_ttl_P_minus_E,all_lakes_ttl_precip,all_lakes_ttl_evap,all_lakes_ttl_runoff,total_hours_in_GLR,genesis_date_time,lysis_date_time,glr0_date_time,fraction_of_time_in_GLR,maturity_glr0_minus_genesis_ratio,north_south_gen_lat,east_west_gen_lon,amo_unsmoothed_bin,amo_unsmoothed_value,ao_bin,ao_value,ea_wr_bin,ea_wr_value,enso_best_bin,enso_best_value,ep_np_bin,ep_np_value,ipo_bin,ipo_value,nao_bin,nao_value,pdo_bin,pdo_value,pna_bin,pna_value,pol_bin,pol_value,qbo_bin,qbo_value,tnh_bin,tnh_value,wp_bin,wp_value
108,1979,1,10,18,1979,1,7,0,56.52721312,-86.49646836,,1979,1,9,0,1007.534375,13.01469617,888.4866447,132.6792466,0.008939140759,0.004744773203,0.006957579536,0.007486792174,0.01126764223,0.0177571011410243,0.0156180468502367,0.0103653254177951,0.0098630860079343,0.011143496026174,0.0061058854716168,0.0054423257559771,0.0005260832749253,0.0034308591318549,0.0019387250091977,0.000489948,0.000485746,0.001522321,0.002748805,0.003397807,-8.81796037135378,-10.8732736393105,-3.40774587907347,-2.37629382854062,0.124146187460638,0.040037278,0.03106098,0.008644627,90,1/7/1979 0:00,1/10/1979 18:00,1/9/1979 0:00,0.2,0.533333333,1,1,-1,-0.173901264,-2,-2.086595602,-1,-0.846279123,1,0.224352314,2,2.130958143,1,0.128272964,-2,-2.023275371,-1,-0.430320075,-2,-1.399966383,1,0.670368664,1,5.300417179,1,0.4,2,1.40393111
11,1979,1,2,6,1979,1,1,0,40.09603931,-86.0090869,,1979,1,1,6,1004.968984,21.87593388,418.4141936,114.06598,0.00442468085,0.01071056905,0.01594364124,0.01906002792,0.02529152827,0.0100507915312632,0.0111415199189963,0.0064404109358467,0.0041058382082831,0.0032528860601426,0.0025668886922107,0.0044809403976898,-1.97296088855705E-05,-0.0004909783684013,-0.0026550202057267,0.000423031,0.000416797,0.003687953,0.008368928,0.011046303,-5.62611067506493,-0.430950808405311,9.50323029106049,14.9541895042893,22.0386421425412,0.078259272,0.021900358,0.023943012,54,1/1/1979 0:00,1/2/1979 6:00,1/1/1979 6:00,-0.6,0.2,-1,1,-1,-0.173901264,-2,-2.086595602,-1,-0.846279123,1,0.224352314,2,2.130958143,1,0.128272964,-2,-2.023275371,-1,-0.430320075,-2,-1.399966383,1,0.670368664,1,5.300417179,1,0.4,2,1.40393111
112,1979,1,11,6,1979,1,7,12,34.63503566,-87.34260932,,1979,1,8,12,1004.919297,14.56788395,743.1471271,127.9507655,0.007820104288,0.003807271051,0.005325716325,0.008860325377,0.009861102342,0.0145942847374976,0.0122865220671254,0.007910972818734,0.0076117505672965,0.0086176686489679,0.0050462020335045,0.0039170247112514,-0.0001835065785063,0.0022559734360823,0.0010744158070822,0.000412651,0.000408636,0.001353167,0.002550819,0.003134911,-6.77418043003032,-8.47925102300261,-2.58525649300878,1.24857480529481,1.24343369061429,0.036187724,0.024789081,0.007860184,72,1/7/1979 12:00,1/11/1979 6:00,1/8/1979 12:00,0,0.266666667,-1,1,-1,-0.173901264,-2,-2.086595602,-1,-0.846279123,1,0.224352314,2,2.130958143,1,0.128272964,-2,-2.023275371,-1,-0.430320075,-2,-1.399966383,1,0.670368664,1,5.300417179,1,0.4,2,1.40393111
176,1979,1,19,0,1979,1,13,0,35.57112079,-103.6197706,,1979,1,13,18,984.5766406,24.07620378,1623.945014,107.0869099,0.007253146303,0.03101056785,0.02748445171,0.0173730258,0.02320309035,0.0168128997575222,0.0142906060504118,0.0115321422647163,0.0059499600025666,0.0105894759973516,0.0047414824728759,0.0037671282314728,0.0014616372940152,-0.0003699062772529,0.0010207143712092,0.000431235,0.000431466,0.001105104,0.002798453,0.003263102,-9.5597534535998,16.7199617236379,15.9523093806828,11.4230657430064,12.6136142965285,0.107577598,0.034151684,0.00802936,96,1/13/1979 0:00,1/19/1979 0:00,1/13/1979 18:00,0.166666667,0.125,-1,-1,-1,-0.173901264,-2,-2.086595602,-1,-0.846279123,1,0.224352314,2,2.130958143,1,0.128272964,-2,-2.023275371,-1,-0.430320075,-2,-1.399966383,1,0.670368664,1,5.300417179,1,0.4,2,1.40393111
209,1979,1,22,0,1979,1,17,12,46.56429045,-87.8789036,,1979,1,17,12,1008.355938,17.20847675,1660.529852,117.1632649,0.01057529806,0.0105302699,0.01220675329,0.008459036582,0.0132408601,0.0108092577757947,0.009808528197218,0.0084564957319269,0.0051100268466075,0.0082900412449579,0.0004602614312074,0.0007495788024388,-0.0001039423670972,-0.0001694166340801,4.80667227933986E-05,0.000344143,0.000336805,0.000791305,0.001329924,0.001388986,-0.233959721905371,0.721741710805318,3.75025753687365,3.34900976207664,4.95081886366295,0.053987101,0.022288129,0.004191163,84,1/17/1979 12:00,1/22/1979 0:00,1/17/1979 12:00,0.111111111,0,1,1,-1,-0.173901264,-2,-2.086595602,-1,-0.846279123,1,0.224352314,2,2.130958143,1,0.128272964,-2,-2.023275371,-1,-0.430320075,-2,-1.399966383,1,0.670368664,1,5.300417179,1,0.4,2,1.40393111
221,1979,1,20,6,1979,1,18,18,43.88459544,-105.3555494,,1979,1,19,12,1005.740703,12.62412081,590.3806614,90.98112667,0.007815994523,0.009644988353,0.007443718884,0.01693521373,0.0193909854,0.0079132774866566,0.0069804931685202,0.0075940058019285,0.0040727905557615,0.0081454708405858,-0.0029381081286359,-0.0025467705956682,-0.0013472130084076,-0.0013834057795926,-0.0005279896733336,0.000351471,0.000338535,0.000754278,0.001504616,0.001332895,-0.097282962469793,2.66449521451088,-0.150286918020029,12.8624231361508,11.2455145279864,0.061035297,0.021405026,0.004281795,90,1/18/1979 18:00,1/20/1979 6:00,1/19/1979 12:00,0.5,0.5,1,-1,-1,-0.173901264,-2,-2.086595602,-1,-0.846279123,1,0.224352314,2,2.130958143,1,0.128272964,-2,-2.023275371,-1,-0.430320075,-2,-1.399966383,1,0.670368664,1,5.300417179,1,0.4,2,1.40393111
233,1979,1,21,18,1979,1,20,0,34.81109564,-102.4499965,,1979,1,21,6,988.5254688,15.6559716,1801.877032,139.2431363,0.005836808679,0.005265378493,0.007008542282,0.01764799256,0.01949044263,0.0055944944203558,0.0044302300480641,0.0049412092793652,0.0023112659495937,0.00532075090576,-0.0031201124917876,-0.0032443930741989,-0.00223329593645,-0.0020443820758579,-0.001676799203957,0.000276729,0.000265023,0.000568993,0.001245864,0.001007486,0.242314275895811,0.835148449684835,2.06733300420862,15.3367265633777,14.1696916898606,0.055122652,0.017538307,0.003364095,72,1/20/1979 0:00,1/21/1979 18:00,1/21/1979 6:00,0,0.714285714,-1,-1,-1,-0.173901264,-2,-2.086595602,-1,-0.846279123,1,0.224352314,2,2.130958143,1,0.128272964,-2,-2.023275371,-1,-0.430320075,-2,-1.399966383,1,0.670368664,1,5.300417179,1,0.4,2,1.40393111
247,1979,1,23,18,1979,1,21,18,41.03329801,-75.50435005,,1979,1,21,18,976.3325,26.75843686,1412.165513,59.19177438,0.01043530322,0.007742651861,0.005694692461,0.01698504024,0.01995041759,0.0066391080669709,0.005046173925796,0.0046366259915701,0.0024804192033881,0.004862765388064,-0.0026937196379304,-0.0031854048656823,-0.0030532369848237,-0.0021794130963054,-0.0026566576866155,0.000293379,0.000281202,0.000594913,0.001282635,0.001046768,3.79619517067427,2.69647791391929,1.05806646456879,14.504620992348,15.0876521805386,0.060176146,0.018505993,0.003498897,78,1/21/1979 18:00,1/23/1979 18:00,1/21/1979 18:00,0.125,0,-1,1,-1,-0.173901264,-2,-2.086595602,-1,-0.846279123,1,0.224352314,2,2.130958143,1,0.128272964,-2,-2.023275371,-1,-0.430320075,-2,-1.399966383,1,0.670368664,1,5.300417179,1,0.4,2,1.40393111
255,1979,1,28,18,1979,1,22,12,39.33979433,-102.9553193,,1979,1,24,12,983.5761719,23.54893409,1941.746791,116.4421403,0.01296488182,0.02422948269,0.01367853471,0.02392921601,0.07138634707,0.0088558482887727,0.0074184984810392,0.0022696360739587,0.0014754083975804,0.0031321221516549,-0.0014919419852402,-0.0017312874885766,-0.0062796633878311,-0.0036503464347735,-0.005298391249551,0.000309593,0.000302099,0.00075962,0.001725847,0.005357705,4.10903353663262,16.8109842637985,11.4088986019495,22.4538075690613,68.2542252017414,0.13167759,0.023228018,0.008454864,90,1/22/1979 12:00,1/28/1979 18:00,1/24/1979 12:00,0.12,0.32,-1,-1,-1,-0.173901264,-2,-2.086595602,-1,-0.846279123,1,0.224352314,2,2.130958143,1,0.128272964,-2,-2.023275371,-1,-0.430320075,-2,-1.399966383,1,0.670368664,1,5.300417179,1,0.4,2,1.40393111
28,1979,1,3,0,1979,1,1,12,35.59281526,-86.31651361,,1979,1,1,6,1004.563359,13.94224018,815.1514506,112.403481,0.007031162299,0.01197085511,0.01792332909,0.02037191455,0.02641131118,0.0139924842142155,0.0154733875217779,0.0103505547968449,0.0081524008672568,0.0069443881555199,0.0042603087120726,0.0068227418240181,0.0019613746119022,0.0022127895558487,-0.0007360404941225,0.000541081,0.000539199,0.004551972,0.010182499,0.013458492,-6.96132191200359,-3.50253236093149,7.57277427107865,12.2195134851595,19.4669229470708,0.086773958,0.031773633,0.029273243,72,1/1/1979 12:00,1/3/1979 0:00,1/1/1979 6:00,0,-0.166666667,-1,1,-1,-0.173901264,-2,-2.086595602,-1,-0.846279123,1,0.224352314,2,2.130958143,1,0.128272964,-2,-2.023275371,-1,-0.430320075,-2,-1.399966383,1,0.670368664,1,5.300417179,1,0.4,2,1.40393111
29,1979,1,5,18,1979,1,2,18,37.76601172,-76.8907918,,1979,1,3,0,1001.749688,16.46537685,1659.810852,114.2234759,0.008990951181,0.006884921569,0.01038940075,0.009384048942,0.01081335698,0.0160313343818595,0.0177204990090006,0.0130537688106779,0.0125875239328406,0.0109980897466854,0.0062924074509993,0.009075893212011,0.0046773966965317,0.0067132996736353,0.0033179098459675,0.000523607,0.00052668,0.00483633,0.008889265,0.012472002,-7.04038319829738,-10.8355774080135,-2.66436807100056,-3.20347497016423,-0.184732752506774,0.050302911,0.036178112,0.027247884,72,1/2/1979 18:00,1/5/1979 18:00,1/3/1979 0:00,0,0.083333333,-1,1,-1,-0.173901264,-2,-2.086595602,-1,-0.846279123,1,0.224352314,2,2.130958143,1,0.128272964,-2,-2.023275371,-1,-0.430320075,-2,-1.399966383,1,0.670368664,1,5.300417179,1,0.4,2,1.40393111
135,1979,2,16,12,1979,2,11,18,38.85366283,-102.8388163,,1979,2,12,0,1013.141406,13.79585017,1018.280145,136.8764298,0.01180608374,0.01110321061,0.00714234067,0.00620371755,0.002882346551,0.0077247014756554,0.0092865076142036,0.0089670999827574,0.0066564188608236,0.0109170048327798,-0.0003770795608466,0.0024865723513901,0.002171182146717,0.003055043856397,0.00416295818487,0.000180596,0.000198075,0.000380438,0.000515321,0.000878971,4.08138225586935,1.81670297985791,-1.82475930640612,-0.452701313475528,-8.03465827986053,0.0381399,0.020026742,0.002153401,90,2/11/1979 18:00,2/16/1979 12:00,2/12/1979 0:00,0.157894737,0.052631579,-1,-1,-1,-0.133105093,-1,-0.551041631,-1,-0.255759402,-1,-0.285985114,-1,-0.169096933,-1,-0.123999152,-2,-1.10363066,-2,-1.18169472,-2,-2.590425395,2,1.770808063,1,7.55925833,-1,-0.57,-1,-0.685810683
173,1979,2,17,0,1979,2,15,0,39.33979433,-102.9553193,,1979,2,15,18,1006.656328,14.99079133,1030.322023,134.649796,0.008809391531,0.008431283284,0.01143750357,0.004574938081,0.006721077283,0.0064237919178376,0.0082976365011256,0.0095452896520176,0.0078004164978054,0.0123629086645997,-0.0009253043063399,0.0021954347166513,0.003342496700131,0.0044952672948159,0.0061682651818545,0.00015637,0.000170634,0.000329583,0.00042068,0.000764563,2.38559961917024,0.133646777085971,1.89221395020203,-3.22547841239161,-5.64183137552384,0.038009474,0.019340374,0.00184183,84,2/15/1979 0:00,2/17/1979 0:00,2/15/1979 18:00,0.25,0.375,-1,-1,-1,-0.133105093,-1,-0.551041631,-1,-0.255759402,-1,-0.285985114,-1,-0.169096933,-1,-0.123999152,-2,-1.10363066,-2,-1.18169472,-2,-2.590425395,2,1.770808063,1,7.55925833,-1,-0.57,-1,-0.685810683
