min_p_cent,max_p_grad,max_radius,max_uv,fraction_of_time_in_GLR,maturity_glr0_minus_genesis_ratio,sup_ttl_precip,mi_ttl_precip,huron_ttl_precip,erie_ttl_precip,ont_ttl_precip,sup_ttl_evap_anom,mi_ttl_evap_anom,huron_ttl_evap_anom,erie_ttl_evap_anom,ont_ttl_evap_anom,lat_gen,lon_gen,year,month,season,amo_unsmoothed_value,ao_value,ea_wr_value,enso_best_value,ipo_value,nao_value,pdo_value,pna_value,pol_value,qbo_value,wp_value,raw_cluster,k2_posterior,k2_cluster,storm_type
960.914565,33.01817092,1426.602199,137.1594693,0.15,0.05,0.001914383,0.001680668,0.004526912,0.019735514,0.018881343,-0.000951719,-0.001059823,-0.002104875,-0.003249195,-0.001072012,35.53940302,-87.67019326,1950,1,DJF,0.207031043,0.276222449,2.052857851,-0.658222637,-1.191030649,0.780365381,-1.501943859,-3.350230338,-0.902542297,-5.146303607,-1.805924665,1,0.9998209219608168,1,Type 1 (Earlier-entry storms)
976.6624303,42.68459883,1161.394912,106.502946,0.214285714,0.071428571,0.006357545,0.008452836,0.009512085,0.030182132,0.020946605,0.000744328,0.000288592,-0.000301621,0.000204326,0.000203096,40.88949015,-99.35141298,1950,1,DJF,0.207031043,0.276222449,2.052857851,-0.658222637,-1.191030649,0.780365381,-1.501943859,-3.350230338,-0.902542297,-5.146303607,-1.805924665,1,0.9999998553838052,1,Type 1 (Earlier-entry storms)
972.2361332,40.78533658,1113.113306,100.8050426,0.307692308,0.0,0.025781809,0.031708725,0.031701313,0.049403613,0.046751451,0.000822838,-0.002815974,-0.001466848,0.001509465,0.001263398,39.35204709,-90.65552951,1950,1,DJF,0.207031043,0.276222449,2.052857851,-0.658222637,-1.191030649,0.780365381,-1.501943859,-3.350230338,-0.902542297,-5.146303607,-1.805924665,1,0.9999982672130499,1,Type 1 (Earlier-entry storms)
977.7831866,35.42658335,1187.900465,85.82374932,0.214285714,0.071428571,0.017161708,0.010316228,0.012698098,0.025921265,0.023739651,0.000458511,-0.007453222,-0.008562171,-0.005324391,-0.006802936,40.89764949,-97.44304399,1950,1,DJF,0.207031043,0.276222449,2.052857851,-0.658222637,-1.191030649,0.780365381,-1.501943859,-3.350230338,-0.902542297,-5.146303607,-1.805924665,1,0.999991442177763,1,Type 1 (Earlier-entry storms)
959.7841364,45.86533312,1125.377919,119.6616115,0.176470588,0.0,0.006379416,0.004432698,0.006305691,0.005835816,0.006684983,0.001861805,-0.005969571,-0.008972287,-0.007434986,-0.009581459,42.98326954,-93.23440494,1950,1,DJF,0.207031043,0.276222449,2.052857851,-0.658222637,-1.191030649,0.780365381,-1.501943859,-3.350230338,-0.902542297,-5.146303607,-1.805924665,1,0.9999999725730507,1,Type 1 (Earlier-entry storms)
978.7618436,29.76475255,730.0480229,127.4097098,0.142857143,0.0,0.011596268,0.01102828,0.017600231,0.024924497,0.031493174,0.001102842,0.00277545,0.000724159,0.00271577,0.002636601,43.73055495,-87.00221139,1950,1,DJF,0.207031043,0.276222449,2.052857851,-0.658222637,-1.191030649,0.780365381,-1.501943859,-3.350230338,-0.902542297,-5.146303607,-1.805924665,1,0.9998849909530807,1,Type 1 (Earlier-entry storms)
948.9531656,48.38607557,1243.05895,141.9143212,0.142857143,0.0,0.018671018,0.032407802,0.026736772,0.015647915,0.011695225,0.000652703,0.002035368,0.003030004,0.004337485,0.00494086,39.82898849,-91.71968004,1950,1,DJF,0.207031043,0.276222449,2.052857851,-0.658222637,-1.191030649,0.780365381,-1.501943859,-3.350230338,-0.902542297,-5.146303607,-1.805924665,1,0.9999999734354791,1,Type 1 (Earlier-entry storms)
994.767525,21.5902083,1008.069597,91.36997424,0.142857143,0.857142857,0.001738002,0.005599616,0.004997508,0.020029631,0.017202434,0.000361967,-0.001732269,-0.001379719,-0.002869128,-0.002496281,44.70474388,-106.6853003,1950,1,DJF,0.207031043,0.276222449,2.052857851,-0.658222637,-1.191030649,0.780365381,-1.501943859,-3.350230338,-0.902542297,-5.146303607,-1.805924665,0,0.9999999958346937,2,Type 2 (Later-entry storms)
994.8460198,20.73585668,1012.50026,92.83322164,0.375,0.25,0.020346187,0.017315278,0.022420532,0.083475114,0.033139821,-0.000989365,0.005668469,0.008074371,0.007788943,0.011425256,39.50838432,-101.516217,1950,1,DJF,0.207031043,0.276222449,2.052857851,-0.658222637,-1.191030649,0.780365381,-1.501943859,-3.350230338,-0.902542297,-5.146303607,-1.805924665,0,0.575340117866285,2,Type 2 (Later-entry storms)
956.6394548,32.85286065,1381.976598,126.2318407,0.136363636,0.045454545,0.019641539,0.016311268,0.021819999,0.091534538,0.039072068,-0.002296933,0.004138151,0.006829604,0.006404192,0.010514723,37.23775827,-93.66294329,1950,1,DJF,0.207031043,0.276222449,2.052857851,-0.658222637,-1.191030649,0.780365381,-1.501943859,-3.350230338,-0.902542297,-5.146303607,-1.805924665,1,0.9998708218360423,1,Type 1 (Earlier-entry storms)
