lake,impact,rr_low,rr_median,rr_high,rd_low,rd_median,rd_high,n_rr_valid,n_rd_valid,season
sup,evap,0.7156465686212522,1.0369727047146402,1.52630634671451,-0.0315413146317669,0.0037863309220093136,0.04215482172768604,2000,2000,DJF
mi,evap,0.5725474525474525,0.9184615384615386,1.4170904068904064,-0.038030353231358255,-0.006092734735950817,0.024265834667844693,2000,2000,DJF
huron,evap,0.5206608293184648,0.8349650349650349,1.2775592828224407,-0.04493060540799234,-0.012953043606309937,0.017667090028899074,2000,2000,DJF
erie,evap,0.41652314584370337,0.6979191021744213,1.0766410256410253,-0.057594658273050235,-0.02451819537246673,0.0055257974855964925,2000,2000,DJF
ont,evap,0.6215153267784846,0.9684458398744112,1.491060405112129,-0.0338452334934747,-0.002433412483663744,0.030227051005945464,2000,2000,DJF
sup,evap,0.4358554647599592,1.1640449438202247,3.104119850187266,-0.01386057004034532,0.0028502017266062198,0.0198855798013101,1999,2000,MAM
mi,evap,0.5820224719101124,1.3756894790602656,3.350266853932564,-0.011643746475207148,0.007661272829812157,0.02760682833716538,2000,2000,MAM
huron,evap,0.8465781409601635,2.161797752808989,7.5662921348314605,-0.0032579931456335927,0.015699969632553903,0.034657932410741395,1999,2000,MAM
erie,evap,0.07760299625468166,0.43651685393258427,1.3968539325842697,-0.025096525096525095,-0.010316255260075484,0.004147325495640104,2000,2000,MAM
ont,evap,0.6984269662921349,1.8292134831460674,5.820224719101124,-0.005821873237603574,0.010888898529347968,0.028549737538501582,1999,2000,MAM
sup,evap,0.0,0.6022727272727273,4.268607954545372,-0.013186106346483704,-0.0006074899942824473,0.0164379645511721,1732,2000,JJA
mi,evap,0.0,1.8068181818181819,9.034090909090908,-0.012578616352201259,0.007611492281303601,0.033483419096626645,1899,2000,JJA
huron,evap,,,,0.0,0.017045454545454544,0.03977272727272727,0,2000,JJA
erie,evap,0.0,1.8068181818181819,9.034090909090908,-0.006289308176100629,0.00821898227558605,0.028409090909090908,1240,2000,JJA
ont,evap,,,,0.0,0.011363636363636364,0.028409090909090908,0,2000,JJA
sup,evap,1.1799547087302829,2.2314540059347183,4.462908011869437,0.0074436517456910115,0.038910284740198246,0.07283919439358545,2000,2000,SON
mi,evap,1.1697137934335216,1.8827893175074186,3.099241674909331,0.011957194267314866,0.04853841782940843,0.0859481343519161,2000,2000,SON
huron,evap,1.0329446266507019,1.6637275331158743,2.719667585134944,0.002226624155565368,0.04260369972851821,0.08163741397815515,2000,2000,SON
erie,evap,1.1093876449959537,1.7313005218459019,2.7893175074183976,0.009849106635519925,0.05144895511080244,0.09472820253803901,2000,2000,SON
ont,evap,1.4286535608308606,2.272777228266843,3.8558212602548445,0.026868962687038325,0.06763053223057011,0.11007986615316617,2000,2000,SON
sup,precip,0.0,0.43736263736263736,1.7494505494505495,-0.01507537688442211,-0.005654646860677012,0.0037660831630680876,1993,2000,DJF
mi,precip,0.5467032967032968,1.2027472527472527,2.6241758241758246,-0.013091096508181934,0.004491321074235648,0.023964971377031664,2000,2000,DJF
huron,precip,0.3124018838304553,0.7596298438403701,1.6699300699300699,-0.02470962872972923,-0.006865830986434003,0.012343770132714857,2000,2000,DJF
erie,precip,0.4919158163265306,0.9476190476190476,1.8744113029827318,-0.02388802989305502,-0.0017928470189776738,0.02186555488063022,2000,2000,DJF
ont,precip,0.3578421578421578,0.7029042386185244,1.3120879120879119,-0.03727796491615587,-0.013880759106889759,0.009721593314558121,2000,2000,DJF
sup,precip,0.8730337078651687,1.3968539325842695,2.278744504152411,-0.008831070235564618,0.022033751247234397,0.05416608823912191,2000,2000,MAM
mi,precip,0.5662696629213483,0.9312359550561797,1.5089471493965876,-0.036771398203982474,-0.004962908333694845,0.027478200511908378,2000,2000,MAM
huron,precip,0.7482613079804091,1.2325181758096497,2.002470700086429,-0.01911055919482886,0.014311743525226676,0.04707745867858223,2000,2000,MAM
erie,precip,0.6226286908805853,1.027098479841375,1.6402451481103166,-0.030007374951195175,0.001778664700013019,0.03198049976139859,2000,2000,MAM
ont,precip,0.46561797752808987,0.8366573033707865,1.4092164399763445,-0.03966780183072319,-0.009917140254218904,0.019161099301548693,2000,2000,MAM
sup,precip,1.8068181818181817,3.6136363636363638,8.582386363636363,0.03237296312178387,0.08188607775871927,0.13200400228702117,2000,2000,JJA
mi,precip,0.9034090909090909,2.5295454545454543,7.227272727272727,-0.002429959977129789,0.03734276729559748,0.08026014865637508,1998,2000,JJA
huron,precip,1.4041448135198136,3.3877840909090904,11.443181818181818,0.012078330474556889,0.05185105774728417,0.09598341909662665,1998,2000,JJA
erie,precip,0.4015151515151515,1.0324675324675323,2.2087194055944037,-0.03581868210405946,0.0014293882218410561,0.043039772727272635,2000,2000,JJA
ont,precip,0.6775568181818181,1.8068181818181819,4.96875,-0.011271619496855347,0.02283447684391081,0.06189519010863349,2000,2000,JJA
sup,precip,0.45538330801292265,0.7793681270727876,1.2639094955489614,-0.054661121282909265,-0.018984784392954104,0.018426352673779862,2000,2000,SON
mi,precip,0.6077859455084975,1.0072535443455324,1.6738309628568493,-0.033831365616516194,0.0005555906307216363,0.03745327987878023,2000,2000,SON
huron,precip,0.6563100017455054,1.1485425030546343,1.9259573265507983,-0.025759201969821323,0.009066228928593975,0.04390144579834581,2000,2000,SON
erie,precip,0.5811078140454996,1.0847345862182658,1.9370260468183316,-0.0252541195782562,0.004084853841782941,0.0346647515625986,2000,2000,SON
ont,precip,0.6748348808270318,1.1706135732746241,1.9923696481559983,-0.02273502115032515,0.0095713113201591,0.043444819748721504,2000,2000,SON
