month,Type 1 (early-life-cycle),Type 2 (late-life-cycle)
1,0.11823436678928008,0.10828025477707007
2,0.0793483972674724,0.09200283085633404
3,0.09458749343142407,0.11040339702760085
4,0.0882816605359958,0.10615711252653928
5,0.08933263268523384,0.0983722576079264
6,0.06410930110352075,0.05449398443029016
7,0.05254860746190226,0.043878273177636234
8,0.05044666316342617,0.026185421089879687
9,0.06095638465580662,0.07006369426751592
10,0.09090909090909091,0.08846426043878274
11,0.0951129795060431,0.0799716914366596
12,0.116132422490804,0.12172682236376504
